Date;Order #;Transaction;Symbol;Name;ISIN;Quantity;Unit price;Costs;Accrued Interest;Net Amount;Balance;Currency
24-08-2022 07:00:15;00000000;Debit;;;;1.0;2000.00;2.00;0.00;-2002.00;6612.40;CHF
23-08-2022 12:00:25;114723639;Forex credit;;;;1.0;1995.39;0.00;0.00;1995.39;2937.32;EUR
23-08-2022 12:00:25;114723639;Forex debit;;;;1.0;2000.00;0.00;0.00;-2000.00;166660.08;USD
10-08-2022 15:30:02;113947121;Buy;ORFN;CONSTRAINED CAPITAL ESG ORPHAN;US8863645383;200.0;19.85;5.96;0.00;-3975.96;168660.08;USD
09-08-2022 12:22:24;113885172;Buy;XDWU;MSCI World Utilities UCITS ETF;IE00BM67HQ30;640.0;31.255;44.35;0.00;-20047.55;8614.40;CHF
09-08-2022 12:16:00;113884899;Buy;KROP;GLOBAL X AGTECHFOODINNOV;IE000EBFYWX3;250.0;13.908;5.70;0.00;-3482.70;28661.95;CHF
09-08-2022 10:58:19;113884899;Buy;KROP;GLOBAL X AGTECHFOODINNOV;IE000EBFYWX3;600.0;13.908;46.10;0.00;-8390.90;115805.00;CHF
09-08-2022 10:57:01;113884587;Buy;WENS;iSh MSCI Wld Energy USD D;IE00BJ5JP105;3300.0;5.917;43.64;0.00;-19569.74;178629.97;USD
09-08-2022 10:50:48;113882551;Forex credit;;;;1.0;100000.00;0.00;0.00;100000.00;124195.90;CHF
09-08-2022 10:50:48;113882551;Forex debit;;;;1.0;106017.30;0.00;0.00;-106017.30;198199.71;USD
09-08-2022 10:37:37;113880776;Sell;VDEM;VANGUARD FTSE EMERG MARKET UCI;IE00B3VVMM84;537.0;55.945;180.91;0.00;29861.56;304217.01;USD
09-08-2022 10:36:57;113881187;Sell;VWRD;VANGUARD FTSE ALL-WORLD UCITS;IE00B3RBWM25;808.0;105.28;318.45;0.00;84747.79;274355.45;USD
06-07-2022 07:01:03;00000000;Debit;;;;1.0;4000.00;2.00;0.00;-4002.00;24195.90;CHF
30-06-2022 18:01:13;00000000;Custody Fees;;;;1.0;50.00;3.85;0.00;-53.85;28197.90;CHF
30-06-2022 16:35:13;00000000;Dividend;VEUD;VANGUARD FTSE EUROPE UCITS ETF;IE00B945VV12;1.0;486.58;0.00;0.00;486.58;941.93;EUR
29-06-2022 11:17:26;00000000;Dividend;VWRD;VANGUARD FTSE ALL-WORLD UCITS;IE00B3RBWM25;1.0;1348.24;0.00;0.00;1348.24;189273.56;USD
16-06-2022 13:14:35;110152600;Sell;VEUD;VANGUARD FTSE EUROPE UCITS ETF;IE00B945VV12;709.0;32.37;115.28;0.00;22835.05;111207.71;USD
10-05-2022 14:31:42;106824458;Sell;WDSC;MSCI WS CAP ETF;IE00BCBJG560;367.0;86.08;157.39;0.00;31433.97;88372.66;USD
10-05-2022 14:31:42;106824458;Sell;WDSC;MSCI WS CAP ETF;IE00BCBJG560;6.0;86.09;26.62;0.00;489.92;56938.69;USD
29-04-2022 16:16:24;00000000;Dividend;IAAA;ISHRS GLOBAL AAA-AA GVT BND US;IE00B87G8S03;1.0;66.72;0.00;0.00;66.72;21345.80;USD
