Conto : CONTO COGNOME NOME ,,,,,,,,,,,
Data estrazione : 2-1-2025 11:58:30,,,,,,,,,,,
,,,,,,,,,,,
Tutti i movimenti ordinati per Data Operazione,,,,,,,,,,,
Dal : 01-01-2022,,,,,,,,,,,
al : 01-01-2025,,,,,,,,,,,
,,,,,,,,,,,
Il file include i primi 3000 movimenti,,,,,,,,,,,
,,,,,,,,,,,
Data operazione,Data valuta,Tipo operazione,Ticker,Isin,Protocollo,Descrizione,Quantità,Importo euro,Importo Divisa,Divisa,Riferimento ordine
30-12-2024,30-12-2024,Conferimento con bonifico,,,YYYYYYY,,0,1200,0,EUR,
27-12-2024,27-12-2024,Provento etf,IEMB,IE00B2NPKV68,YYYYYYY,ISHARES JPMORGAN s EMERGING MA,0,20.95,0,EUR,              
27-12-2024,27-12-2024,Rit.provento etf,IEMB,IE00B2NPKV68,YYYYYYY,ISHARES JPMORGAN s EMERGING MA,0,-3.57,0,EUR,              
27-12-2024,27-12-2024,Provento etf,CNYB,IE00BYPC1H27,YYYYYYY,ISHARES CHINA CNY BOND UCITS E,0,10.94,0,EUR,              
27-12-2024,27-12-2024,Rit.provento etf,CNYB,IE00BYPC1H27,YYYYYYY,ISHARES CHINA CNY BOND UCITS E,0,-2.15,0,EUR,              
27-12-2024,27-12-2024,Ritenuta su plusvalenza,,,YYYYYYY,,0,-2.86,0,EUR,              
27-12-2024,27-12-2024,Coupon certif.,CXF549,IT0006755497,YYYYYYY,MAR SeP 500 EP 240327,0,11,0,EUR,              
13-12-2024,13-12-2024,Conferimento con bonifico,,,YYYYYYY,,0,1200,0,EUR,
06-12-2024,05-12-2024,Cedola obb.,M.511185,IT0005595373,YYYYYYY,ALPER FX JUN29 EUR,0,71.25,0,EUR,              
06-12-2024,05-12-2024,Rit.cedola obb.,M.511185,IT0005595373,YYYYYYY,ALPER FX JUN29 EUR,0,-18.53,0,EUR,              
02-12-2024,05-12-2024,Cedola obb.,M.510999,IT0005583478,YYYYYYY,BTP VALORE SC MZ30 CUM BONUS,0,24.38,0,EUR,              
02-12-2024,05-12-2024,Rit.cedola obb.,M.510999,IT0005583478,YYYYYYY,BTP VALORE SC MZ30 CUM BONUS,0,-3.05,0,EUR,              
02-12-2024,04-12-2024,Acquisto,ICOV,IE00B3B8Q275,,ETF COVERED BOND ISH,3,-431.04,0,EUR,XXXXXXXXX
02-12-2024,04-12-2024,Acquisto,EHYA,IE00BJK55C48,,ISHARES E HIGH YIELD CORP BOND,36,-197.82,0,EUR,XXXXXXXXX
02-12-2024,04-12-2024,Acquisto,SMEA,IE00B4K48X80,,ISHARES MSCI EUROPE UCITS ETF,2,-158.58,0,EUR,XXXXXXXXX
02-12-2024,04-12-2024,Acquisto,IEMB,IE00B2NPKV68,,ISHARES JPMORGAN s EMERGING MA,2,-171.06,0,EUR,XXXXXXXXX
02-12-2024,04-12-2024,Acquisto,EIMI,IE00BKM4GZ66,,ISHARES CORE MSCI EMER MKT IMI,4,-132.18,0,EUR,XXXXXXXXX
02-12-2024,04-12-2024,Acquisto,CNYB,IE00BYPC1H27,,ISHARES CHINA CNY BOND UCITS E,39,-196.33,0,EUR,XXXXXXXXX
02-12-2024,04-12-2024,Acquisto,SWDA,IE00B4L5Y983,,ISHARES MSCI WORLD (ACC),1,-105.71,0,EUR,XXXXXXXXX
02-12-2024,04-12-2024,Acquisto,IWVL,IE00BP3QZB59,,ISHARES MSCI WORLD VALUE FACT,3,-126.53,0,EUR,XXXXXXXXX
02-12-2024,04-12-2024,Acquisto,IEVL,IE00BQN1K901,,ISHARES MSCI EUR VALUE FACTOR,22,-192.24,0,EUR,XXXXXXXXX
02-12-2024,04-12-2024,Acquisto,IWDP,IE00B1FZS350,,ETF EPRA DEVMKTS ISH,6,-139.68,0,EUR,XXXXXXXXX
29-05-2024,31-05-2024,Vendita,AV,IT0005366601,,ANTARES VISION,200,666,0,EUR,Q8610242012248
29-05-2024,33-09-2024,Pippo,AV,IT0005366601,,ANTARES VISION,200,666,0,EUR,Q8610242012248
29-05-2024,31-05-2024,,,,,,,,0,,
